"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (a command-line argument)""|""relative:///cwe22_scenario01_1.c:7:26:7:29""]] and then passed to fopen(__filename).","/cwe22_scenario01_1.c","20","22","20","35"
"Success","Analysis completed","INFO","No vulnerabilities found","cwe22_scenario01_10.c","0","0","0","0"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (a command-line argument)""|""relative:///cwe22_scenario01_2.c:7:26:7:29""]] and then passed to fopen(__filename).","/cwe22_scenario01_2.c","20","22","20","35"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (a command-line argument)""|""relative:///cwe22_scenario01_3.c:7:26:7:29""]] and then passed to fopen(__filename).","/cwe22_scenario01_3.c","28","22","28","35"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (a command-line argument)""|""relative:///cwe22_scenario01_4.c:7:26:7:29""]] and then passed to fopen(__filename).","/cwe22_scenario01_4.c","27","22","27","35"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (a command-line argument)""|""relative:///cwe22_scenario01_5.c:7:26:7:29""]] and then passed to fopen(__filename).","/cwe22_scenario01_5.c","31","22","31","35"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (a command-line argument)""|""relative:///cwe22_scenario01_6.c:7:26:7:29""]] and then passed to fopen(__filename).","/cwe22_scenario01_6.c","20","22","20","35"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (a command-line argument)""|""relative:///cwe22_scenario01_7.c:7:26:7:29""]] and then passed to fopen(__filename).","/cwe22_scenario01_7.c","20","22","20","35"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (a command-line argument)""|""relative:///cwe22_scenario01_8.c:7:26:7:29""]] and then passed to fopen(__filename).","/cwe22_scenario01_8.c","29","22","29","35"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (a command-line argument)""|""relative:///cwe22_scenario01_9.c:7:26:7:29""]] and then passed to fopen(__filename).","/cwe22_scenario01_9.c","20","22","20","35"
