"File created without restricting permissions","Creating a file that is world-writable can allow an attacker to write to the file.","warning","A file may be created here with mode 0666, which would make it world-writable.","/cwe732_scenario01_1.c","10","16","10","20"
"Success","Analysis completed","INFO","No vulnerabilities found","cwe732_scenario01_10.c","0","0","0","0"
"Success","Analysis completed","INFO","No vulnerabilities found","cwe732_scenario01_2.c","0","0","0","0"
"File created without restricting permissions","Creating a file that is world-writable can allow an attacker to write to the file.","warning","A file may be created here with mode 0666, which would make it world-writable.","/cwe732_scenario01_3.c","10","18","10","22"
"File created without restricting permissions","Creating a file that is world-writable can allow an attacker to write to the file.","warning","A file may be created here with mode 0666, which would make it world-writable.","/cwe732_scenario01_4.c","10","16","10","20"
"File created without restricting permissions","Creating a file that is world-writable can allow an attacker to write to the file.","warning","A file may be created here with mode 0666, which would make it world-writable.","/cwe732_scenario01_5.c","10","16","10","20"
"File created without restricting permissions","Creating a file that is world-writable can allow an attacker to write to the file.","warning","A file may be created here with mode 0666, which would make it world-writable.","/cwe732_scenario01_6.c","10","22","10","26"
"File created without restricting permissions","Creating a file that is world-writable can allow an attacker to write to the file.","warning","A file may be created here with mode 0666, which would make it world-writable.","/cwe732_scenario01_7.c","10","16","10","20"
"Success","Analysis completed","INFO","No vulnerabilities found","cwe732_scenario01_8.c","0","0","0","0"
"Success","Analysis completed","INFO","No vulnerabilities found","cwe732_scenario01_9.c","0","0","0","0"
