"Uncontrolled data used in OS command","Using user-supplied data in an OS command, without neutralizing special elements, can make code vulnerable to command injection.","error","This argument to an OS command is derived from [[""user input (a command-line argument)""|""relative:///cwe78_scenario02_1.c:7:26:7:29""]], dangerously concatenated into [[""snprintf output argument""|""relative:///cwe78_scenario02_1.c:13:14:13:16""]], and then passed to system(__command).","/cwe78_scenario02_1.c","16","12","16","14"
"Uncontrolled data used in OS command","Using user-supplied data in an OS command, without neutralizing special elements, can make code vulnerable to command injection.","error","This argument to an OS command is derived from [[""user input (a command-line argument)""|""relative:///cwe78_scenario02_10.c:7:26:7:29""]], dangerously concatenated into [[""snprintf output argument""|""relative:///cwe78_scenario02_10.c:13:14:13:16""]], and then passed to system(__command).","/cwe78_scenario02_10.c","16","12","16","14"
"Uncontrolled data used in OS command","Using user-supplied data in an OS command, without neutralizing special elements, can make code vulnerable to command injection.","error","This argument to an OS command is derived from [[""user input (a command-line argument)""|""relative:///cwe78_scenario02_2.c:7:26:7:29""]], dangerously concatenated into [[""sprintf output argument""|""relative:///cwe78_scenario02_2.c:13:13:13:15""]], and then passed to system(__command).","/cwe78_scenario02_2.c","16","12","16","14"
"Uncontrolled data used in OS command","Using user-supplied data in an OS command, without neutralizing special elements, can make code vulnerable to command injection.","error","This argument to an OS command is derived from [[""user input (a command-line argument)""|""relative:///cwe78_scenario02_3.c:7:26:7:29""]], dangerously concatenated into [[""sprintf output argument""|""relative:///cwe78_scenario02_3.c:13:13:13:15""]], and then passed to system(__command).","/cwe78_scenario02_3.c","16","12","16","14"
"Uncontrolled data used in OS command","Using user-supplied data in an OS command, without neutralizing special elements, can make code vulnerable to command injection.","error","This argument to an OS command is derived from [[""user input (a command-line argument)""|""relative:///cwe78_scenario02_4.c:7:26:7:29""]], dangerously concatenated into [[""snprintf output argument""|""relative:///cwe78_scenario02_4.c:13:14:13:16""]], and then passed to system(__command).","/cwe78_scenario02_4.c","16","12","16","14"
"Uncontrolled data used in OS command","Using user-supplied data in an OS command, without neutralizing special elements, can make code vulnerable to command injection.","error","This argument to an OS command is derived from [[""user input (a command-line argument)""|""relative:///cwe78_scenario02_5.c:7:26:7:29""]], dangerously concatenated into [[""sprintf output argument""|""relative:///cwe78_scenario02_5.c:13:13:13:15""]], and then passed to system(__command).","/cwe78_scenario02_5.c","16","12","16","14"
"Uncontrolled data used in OS command","Using user-supplied data in an OS command, without neutralizing special elements, can make code vulnerable to command injection.","error","This argument to an OS command is derived from [[""user input (a command-line argument)""|""relative:///cwe78_scenario02_6.c:7:26:7:29""]], dangerously concatenated into [[""snprintf output argument""|""relative:///cwe78_scenario02_6.c:13:14:13:16""]], and then passed to system(__command).","/cwe78_scenario02_6.c","16","12","16","14"
"Uncontrolled data used in OS command","Using user-supplied data in an OS command, without neutralizing special elements, can make code vulnerable to command injection.","error","This argument to an OS command is derived from [[""user input (a command-line argument)""|""relative:///cwe78_scenario02_7.c:7:26:7:29""]], dangerously concatenated into [[""snprintf output argument""|""relative:///cwe78_scenario02_7.c:13:14:13:16""]], and then passed to system(__command).","/cwe78_scenario02_7.c","16","12","16","14"
"Uncontrolled data used in OS command","Using user-supplied data in an OS command, without neutralizing special elements, can make code vulnerable to command injection.","error","This argument to an OS command is derived from [[""user input (a command-line argument)""|""relative:///cwe78_scenario02_8.c:7:26:7:29""]], dangerously concatenated into [[""snprintf output argument""|""relative:///cwe78_scenario02_8.c:13:14:13:16""]], and then passed to system(__command).","/cwe78_scenario02_8.c","16","12","16","14"
"Uncontrolled data used in OS command","Using user-supplied data in an OS command, without neutralizing special elements, can make code vulnerable to command injection.","error","This argument to an OS command is derived from [[""user input (a command-line argument)""|""relative:///cwe78_scenario02_9.c:7:26:7:29""]], dangerously concatenated into [[""sprintf output argument""|""relative:///cwe78_scenario02_9.c:13:13:13:15""]], and then passed to system(__command).","/cwe78_scenario02_9.c","16","12","16","14"
