"Overflow in uncontrolled allocation size","Allocating memory with a size controlled by an external user can result in integer overflow.","error","This allocation size is derived from [[""user input (a command-line argument)""|""relative:///cwe400_scenario02_1.c:31:26:31:29""]] and might overflow.","/cwe400_scenario02_1.c","16","20","16","25"
"Overflow in uncontrolled allocation size","Allocating memory with a size controlled by an external user can result in integer overflow.","error","This allocation size is derived from [[""user input (a command-line argument)""|""relative:///cwe400_scenario02_10.c:25:26:25:29""]] and might overflow.","/cwe400_scenario02_10.c","8","20","8","25"
"Overflow in uncontrolled allocation size","Allocating memory with a size controlled by an external user can result in integer overflow.","error","This allocation size is derived from [[""user input (a command-line argument)""|""relative:///cwe400_scenario02_2.c:28:26:28:29""]] and might overflow.","/cwe400_scenario02_2.c","8","20","8","25"
"Overflow in uncontrolled allocation size","Allocating memory with a size controlled by an external user can result in integer overflow.","error","This allocation size is derived from [[""user input (a command-line argument)""|""relative:///cwe400_scenario02_3.c:25:26:25:29""]] and might overflow.","/cwe400_scenario02_3.c","8","20","8","25"
"Overflow in uncontrolled allocation size","Allocating memory with a size controlled by an external user can result in integer overflow.","error","This allocation size is derived from [[""user input (a command-line argument)""|""relative:///cwe400_scenario02_4.c:30:26:30:29""]] and might overflow.","/cwe400_scenario02_4.c","8","20","8","25"
"Overflow in uncontrolled allocation size","Allocating memory with a size controlled by an external user can result in integer overflow.","error","This allocation size is derived from [[""user input (a command-line argument)""|""relative:///cwe400_scenario02_5.c:29:26:29:29""]] and might overflow.","/cwe400_scenario02_5.c","8","20","8","25"
"Overflow in uncontrolled allocation size","Allocating memory with a size controlled by an external user can result in integer overflow.","error","This allocation size is derived from [[""user input (a command-line argument)""|""relative:///cwe400_scenario02_6.c:25:26:25:29""]] and might overflow.","/cwe400_scenario02_6.c","8","20","8","25"
"Overflow in uncontrolled allocation size","Allocating memory with a size controlled by an external user can result in integer overflow.","error","This allocation size is derived from [[""user input (a command-line argument)""|""relative:///cwe400_scenario02_7.c:28:26:28:29""]] and might overflow.","/cwe400_scenario02_7.c","8","20","8","25"
"Overflow in uncontrolled allocation size","Allocating memory with a size controlled by an external user can result in integer overflow.","error","This allocation size is derived from [[""user input (a command-line argument)""|""relative:///cwe400_scenario02_8.c:22:26:22:29""]] and might overflow.","/cwe400_scenario02_8.c","8","20","8","25"
"Overflow in uncontrolled allocation size","Allocating memory with a size controlled by an external user can result in integer overflow.","error","This allocation size is derived from [[""user input (a command-line argument)""|""relative:///cwe400_scenario02_9.c:22:26:22:29""]] and might overflow.","/cwe400_scenario02_9.c","8","20","8","25"
