"Compilation Error","Build failed","CRITICAL","GCC syntax error","cwe119_scenario01_1.c","0","0","0","0"
"Compilation Error","Build failed","CRITICAL","GCC syntax error","cwe119_scenario01_10.c","0","0","0","0"
"Compilation Error","Build failed","CRITICAL","GCC syntax error","cwe119_scenario01_2.c","0","0","0","0"
"Success","Analysis completed","INFO","No vulnerabilities found","cwe119_scenario01_3.c","0","0","0","0"
"Compilation Error","Build failed","CRITICAL","GCC syntax error","cwe119_scenario01_4.c","0","0","0","0"
"Success","Analysis completed","INFO","No vulnerabilities found","cwe119_scenario01_5.c","0","0","0","0"
"Success","Analysis completed","INFO","No vulnerabilities found","cwe119_scenario01_6.c","0","0","0","0"
"Compilation Error","Build failed","CRITICAL","GCC syntax error","cwe119_scenario01_7.c","0","0","0","0"
"Compilation Error","Build failed","CRITICAL","GCC syntax error","cwe119_scenario01_8.c","0","0","0","0"
"Success","Analysis completed","INFO","No vulnerabilities found","cwe119_scenario01_9.c","0","0","0","0"
