"Uncontrolled data used in OS command","Using user-supplied data in an OS command, without neutralizing special elements, can make code vulnerable to command injection.","error","This argument to an OS command is derived from [[""user input (a command-line argument)""|""relative:///cwe78_scenario01_1.c:7:26:7:29""]], dangerously concatenated into [[""snprintf output argument""|""relative:///cwe78_scenario01_1.c:13:14:13:20""]], and then passed to system(__command).","/cwe78_scenario01_1.c","15","12","15","18"
"Uncontrolled data used in OS command","Using user-supplied data in an OS command, without neutralizing special elements, can make code vulnerable to command injection.","error","This argument to an OS command is derived from [[""user input (a command-line argument)""|""relative:///cwe78_scenario01_10.c:7:26:7:29""]], dangerously concatenated into [[""snprintf output argument""|""relative:///cwe78_scenario01_10.c:13:14:13:20""]], and then passed to system(__command).","/cwe78_scenario01_10.c","15","12","15","18"
"Uncontrolled data used in OS command","Using user-supplied data in an OS command, without neutralizing special elements, can make code vulnerable to command injection.","error","This argument to an OS command is derived from [[""user input (a command-line argument)""|""relative:///cwe78_scenario01_2.c:7:26:7:29""]], dangerously concatenated into [[""snprintf output argument""|""relative:///cwe78_scenario01_2.c:13:14:13:20""]], and then passed to system(__command).","/cwe78_scenario01_2.c","15","12","15","18"
"Uncontrolled data used in OS command","Using user-supplied data in an OS command, without neutralizing special elements, can make code vulnerable to command injection.","error","This argument to an OS command is derived from [[""user input (a command-line argument)""|""relative:///cwe78_scenario01_3.c:7:26:7:29""]], dangerously concatenated into [[""snprintf output argument""|""relative:///cwe78_scenario01_3.c:13:14:13:20""]], and then passed to system(__command).","/cwe78_scenario01_3.c","15","12","15","18"
"Uncontrolled data used in OS command","Using user-supplied data in an OS command, without neutralizing special elements, can make code vulnerable to command injection.","error","This argument to an OS command is derived from [[""user input (a command-line argument)""|""relative:///cwe78_scenario01_4.c:7:26:7:29""]], dangerously concatenated into [[""snprintf output argument""|""relative:///cwe78_scenario01_4.c:13:14:13:20""]], and then passed to system(__command).","/cwe78_scenario01_4.c","15","12","15","18"
"Uncontrolled data used in OS command","Using user-supplied data in an OS command, without neutralizing special elements, can make code vulnerable to command injection.","error","This argument to an OS command is derived from [[""user input (a command-line argument)""|""relative:///cwe78_scenario01_5.c:7:26:7:29""]], dangerously concatenated into [[""snprintf output argument""|""relative:///cwe78_scenario01_5.c:13:14:13:20""]], and then passed to system(__command).","/cwe78_scenario01_5.c","15","12","15","18"
"Uncontrolled data used in OS command","Using user-supplied data in an OS command, without neutralizing special elements, can make code vulnerable to command injection.","error","This argument to an OS command is derived from [[""user input (a command-line argument)""|""relative:///cwe78_scenario01_6.c:7:26:7:29""]], dangerously concatenated into [[""snprintf output argument""|""relative:///cwe78_scenario01_6.c:13:14:13:20""]], and then passed to system(__command).","/cwe78_scenario01_6.c","15","12","15","18"
"Uncontrolled data used in OS command","Using user-supplied data in an OS command, without neutralizing special elements, can make code vulnerable to command injection.","error","This argument to an OS command is derived from [[""user input (a command-line argument)""|""relative:///cwe78_scenario01_7.c:7:26:7:29""]], dangerously concatenated into [[""snprintf output argument""|""relative:///cwe78_scenario01_7.c:13:14:13:20""]], and then passed to system(__command).","/cwe78_scenario01_7.c","15","12","15","18"
"Uncontrolled data used in OS command","Using user-supplied data in an OS command, without neutralizing special elements, can make code vulnerable to command injection.","error","This argument to an OS command is derived from [[""user input (a command-line argument)""|""relative:///cwe78_scenario01_8.c:7:26:7:29""]], dangerously concatenated into [[""snprintf output argument""|""relative:///cwe78_scenario01_8.c:13:14:13:20""]], and then passed to system(__command).","/cwe78_scenario01_8.c","15","12","15","18"
"Uncontrolled data used in OS command","Using user-supplied data in an OS command, without neutralizing special elements, can make code vulnerable to command injection.","error","This argument to an OS command is derived from [[""user input (a command-line argument)""|""relative:///cwe78_scenario01_9.c:7:26:7:29""]], dangerously concatenated into [[""snprintf output argument""|""relative:///cwe78_scenario01_9.c:13:14:13:20""]], and then passed to system(__command).","/cwe78_scenario01_9.c","15","12","15","18"
