"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""a command-line argument""|""relative:///cwe190_scenario01_1.c:4:26:4:29""]] flows an expression which might overflow.","/cwe190_scenario01_1.c","13","5","13","17"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""a command-line argument""|""relative:///cwe190_scenario01_10.c:4:26:4:29""]] flows an expression which might overflow.","/cwe190_scenario01_10.c","13","18","13","29"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""a command-line argument""|""relative:///cwe190_scenario01_2.c:4:26:4:29""]] flows an expression which might overflow.","/cwe190_scenario01_2.c","13","5","13","17"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""a command-line argument""|""relative:///cwe190_scenario01_3.c:4:26:4:29""]] flows an expression which might overflow.","/cwe190_scenario01_3.c","13","5","13","17"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""a command-line argument""|""relative:///cwe190_scenario01_4.c:4:26:4:29""]] flows an expression which might overflow.","/cwe190_scenario01_4.c","13","13","13","24"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""a command-line argument""|""relative:///cwe190_scenario01_5.c:4:26:4:29""]] flows an expression which might overflow.","/cwe190_scenario01_5.c","13","5","13","17"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""a command-line argument""|""relative:///cwe190_scenario01_6.c:4:26:4:29""]] flows an expression which might overflow.","/cwe190_scenario01_6.c","13","5","13","17"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""a command-line argument""|""relative:///cwe190_scenario01_7.c:4:26:4:29""]] flows an expression which might overflow.","/cwe190_scenario01_7.c","13","5","13","17"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""a command-line argument""|""relative:///cwe190_scenario01_8.c:4:26:4:29""]] flows an expression which might overflow.","/cwe190_scenario01_8.c","13","5","13","17"
"Potential integer arithmetic overflow","A user-controlled integer arithmetic expression that is not validated can cause overflows.","warning","[[""a command-line argument""|""relative:///cwe190_scenario01_9.c:4:26:4:29""]] flows an expression which might overflow.","/cwe190_scenario01_9.c","13","18","13","29"
