"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (a command-line argument)""|""relative:///cwe22_scenario01_1.c:7:26:7:29""]] and then passed to fopen(__filename).","/cwe22_scenario01_1.c","22","22","22","35"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (a command-line argument)""|""relative:///cwe22_scenario01_10.c:7:26:7:29""]] and then passed to fopen(__filename).","/cwe22_scenario01_10.c","20","22","20","35"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (a command-line argument)""|""relative:///cwe22_scenario01_2.c:7:26:7:29""]] and then passed to fopen(__filename).","/cwe22_scenario01_2.c","26","22","26","35"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (a command-line argument)""|""relative:///cwe22_scenario01_3.c:7:26:7:29""]] and then passed to fopen(__filename).","/cwe22_scenario01_3.c","26","22","26","35"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (a command-line argument)""|""relative:///cwe22_scenario01_4.c:7:26:7:29""]] and then passed to fopen(__filename).","/cwe22_scenario01_4.c","26","22","26","35"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (a command-line argument)""|""relative:///cwe22_scenario01_5.c:7:26:7:29""]] and then passed to fopen(__filename).","/cwe22_scenario01_5.c","26","22","26","35"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (a command-line argument)""|""relative:///cwe22_scenario01_6.c:7:26:7:29""]] and then passed to fopen(__filename).","/cwe22_scenario01_6.c","37","22","37","35"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (a command-line argument)""|""relative:///cwe22_scenario01_7.c:7:26:7:29""]] and then passed to fopen(__filename).","/cwe22_scenario01_7.c","20","22","20","35"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (a command-line argument)""|""relative:///cwe22_scenario01_8.c:7:26:7:29""]] and then passed to fopen(__filename).","/cwe22_scenario01_8.c","26","22","26","35"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (a command-line argument)""|""relative:///cwe22_scenario01_9.c:7:26:7:29""]] and then passed to fopen(__filename).","/cwe22_scenario01_9.c","20","22","20","35"
