"Overflow in uncontrolled allocation size","Allocating memory with a size controlled by an external user can result in integer overflow.","error","This allocation size is derived from [[""user input (a command-line argument)""|""relative:///cwe400_scenario02_1.c:23:26:23:29""]] and might overflow.","/cwe400_scenario02_1.c","8","20","8","25"
"Overflow in uncontrolled allocation size","Allocating memory with a size controlled by an external user can result in integer overflow.","error","This allocation size is derived from [[""user input (a command-line argument)""|""relative:///cwe400_scenario02_10.c:21:26:21:29""]] and might overflow.","/cwe400_scenario02_10.c","8","20","8","25"
"Overflow in uncontrolled allocation size","Allocating memory with a size controlled by an external user can result in integer overflow.","error","This allocation size is derived from [[""user input (a command-line argument)""|""relative:///cwe400_scenario02_2.c:23:26:23:29""]] and might overflow.","/cwe400_scenario02_2.c","13","20","13","25"
"Overflow in uncontrolled allocation size","Allocating memory with a size controlled by an external user can result in integer overflow.","error","This allocation size is derived from [[""user input (a command-line argument)""|""relative:///cwe400_scenario02_3.c:21:26:21:29""]] and might overflow.","/cwe400_scenario02_3.c","8","20","8","25"
"Overflow in uncontrolled allocation size","Allocating memory with a size controlled by an external user can result in integer overflow.","error","This allocation size is derived from [[""user input (a command-line argument)""|""relative:///cwe400_scenario02_4.c:22:26:22:29""]] and might overflow.","/cwe400_scenario02_4.c","8","20","8","25"
"Success","Analysis completed","INFO","No vulnerabilities found","cwe400_scenario02_5.c","0","0","0","0"
"Success","Analysis completed","INFO","No vulnerabilities found","cwe400_scenario02_6.c","0","0","0","0"
"Overflow in uncontrolled allocation size","Allocating memory with a size controlled by an external user can result in integer overflow.","error","This allocation size is derived from [[""user input (a command-line argument)""|""relative:///cwe400_scenario02_7.c:21:26:21:29""]] and might overflow.","/cwe400_scenario02_7.c","8","20","8","25"
"Overflow in uncontrolled allocation size","Allocating memory with a size controlled by an external user can result in integer overflow.","error","This allocation size is derived from [[""user input (a command-line argument)""|""relative:///cwe400_scenario02_8.c:18:26:18:29""]] and might overflow.","/cwe400_scenario02_8.c","8","20","8","25"
"Overflow in uncontrolled allocation size","Allocating memory with a size controlled by an external user can result in integer overflow.","error","This allocation size is derived from [[""user input (a command-line argument)""|""relative:///cwe400_scenario02_9.c:26:26:26:29""]] and might overflow.","/cwe400_scenario02_9.c","13","20","13","25"
